"","X1","X2","X3","X1.1","X2.1","X3.1","X1.2","X2.2","X3.2","X1.3","X2.3","X3.3","X1.4","X2.4","X3.4","X1.5","X2.5","X3.5"
"1",1,7,372,1,31,628,1,104,576,1,330,647,1,536,531,1,1307,496
"2",1,9,352,1,21,537,1,132,526,1,355,602,1,577,531,1,1420,474
"3",1,9,354,1,31,508,1,121,546,1,342,571,1,551,429,1,1515,328
"4",1,10,314,1,27,460,1,130,471,1,382,529,1,578,449,1,1675,359
"5",1,12,313,1,31,391,1,119,500,1,428,581,1,696,470,1,1727,417
"6",1,14,362,1,48,590,1,133,600,1,417,607,1,697,523,1,2015,523
"7",1,22,357,1,44,471,1,151,613,1,397,634,1,708,579,1,2031,518
"8",1,32,373,1,59,458,1,153,635,1,448,660,1,829,570,1,2103,576
"9",1,29,350,1,55,464,1,143,612,1,492,668,1,912,608,1,2332,589
"10",1,34,383,1,58,409,1,146,530,1,466,560,1,980,607,1,2392,607
